Data	Energia Esperad kWh		Curva de carga kWh		Diferencia	%
2020-09-12 18:00:00+0200	653,610677229		534			0,817000117354122
2020-09-12 19:00:00+0200	375,893806333		269			0,715627646606382
2020-09-12 20:00:00+0200	185,140136371		133			0,718374754426468
2020-09-12 21:00:00+0200	29,823505818		14			0,46942837926804
2020-09-12 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 09:00:00+0200	23,164478514		17			0,733882266746427
2020-09-13 10:00:00+0200	178,322264987		141			0,79070328099679
2020-09-13 11:00:00+0200	437,107164171		353			0,807582279438237
2020-09-13 12:00:00+0200	676,331466633		547			0,808775026723428
2020-09-13 13:00:00+0200	724,721371696		588			0,811346295230616
2020-09-13 14:00:00+0200	1049,784858910		866			0,824930930037584
2020-09-13 15:00:00+0200	1557,174648290		1242			0,797598394864631
2020-09-13 16:00:00+0200	1460,507116620		1169			0,800406918047325
2020-09-13 17:00:00+0200	1275,387400040		1025			0,803677376746746
2020-09-13 18:00:00+0200	987,324143183		802			0,812296554821864
2020-09-13 19:00:00+0200	620,211736325		493			0,794889827337387
2020-09-13 20:00:00+0200	230,925962755		169			0,731836290661262
2020-09-13 21:00:00+0200	21,403802726		10			0,46720669817047
2020-09-13 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-13 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 09:00:00+0200	34,201008954		25			0,730972587197019
2020-09-14 10:00:00+0200	230,833700621		174			0,753789414335501
2020-09-14 11:00:00+0200	513,108318717		426			0,83023405479995
2020-09-14 12:00:00+0200	842,595979021		657			0,779733129943676
2020-09-14 13:00:00+0200	1183,816247500		951			0,803334133999542
2020-09-14 14:00:00+0200	1181,489056450		952			0,805762858997999
2020-09-14 15:00:00+0200	1429,828355830		1161			0,811985575237842
2020-09-14 16:00:00+0200	1365,211053960		1107			0,810863636643565
2020-09-14 17:00:00+0200	1065,901308650		838			0,786189108878528
2020-09-14 18:00:00+0200	280,267346546		205			0,731444467314545
2020-09-14 19:00:00+0200	321,371459858		266			0,827702622123115
2020-09-14 20:00:00+0200	236,467883452		173			0,731600407947648
2020-09-14 21:00:00+0200	19,483336060		9			0,46193321164811
2020-09-14 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-14 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 09:00:00+0200	47,668667600		35			0,734234912826746
2020-09-15 10:00:00+0200	339,145403437		265			0,78137576778105
2020-09-15 11:00:00+0200	699,454979483		559			0,799193681361999
2020-09-15 12:00:00+0200	1051,051100030		843			0,802054248338581
2020-09-15 13:00:00+0200	1271,299833280		1031			0,810980992060687
2020-09-15 14:00:00+0200	1335,716279320		1040			0,778608463564922
2020-09-15 15:00:00+0200	1251,061912190		1008			0,805715520693523
2020-09-15 16:00:00+0200	1430,427924580		1135			0,793468849773229
2020-09-15 17:00:00+0200	1245,756804420		1011			0,811554868825863
2020-09-15 18:00:00+0200	970,428409154		793			0,817164865042772
2020-09-15 19:00:00+0200	604,077257979		484			0,801222018553173
2020-09-15 20:00:00+0200	213,061324888		156			0,732183563028178
2020-09-15 21:00:00+0200	11,206096274		6			0,535422849621739
2020-09-15 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-15 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 09:00:00+0200	43,125097925		32			0,742027300567573
2020-09-16 10:00:00+0200	322,437442958		239			0,741229051463268
2020-09-16 11:00:00+0200	715,596890371		563			0,786755794464274
2020-09-16 12:00:00+0200	937,289427913		734			0,783109227674048
2020-09-16 13:00:00+0200	889,777090117		721			0,810315311563251
2020-09-16 14:00:00+0200	1214,855283680		933			0,767992708706659
2020-09-16 15:00:00+0200	970,330195608		813			0,837859116082213
2020-09-16 16:00:00+0200	816,943583017		626			0,766270784193152
2020-09-16 17:00:00+0200	626,637573429		505			0,805888477507993
2020-09-16 18:00:00+0200	289,318382267		213			0,736213158427767
2020-09-16 19:00:00+0200	142,029163208		97			0,682958329184441
2020-09-16 20:00:00+0200	55,572949201		31			0,557825352906657
2020-09-16 21:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-16 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 09:00:00+0200	30,653816361		25			0,815559136446381
2020-09-17 10:00:00+0200	230,170264792		189			0,821131261984667
2020-09-17 11:00:00+0200	448,912880317		345			0,768523281747626
2020-09-17 12:00:00+0200	606,276623312		469			0,773574276108358
2020-09-17 13:00:00+0200	890,819938050		766			0,859881966356489
2020-09-17 14:00:00+0200	928,764633217		720			0,775223317350174
2020-09-17 15:00:00+0200	653,805315562		540			0,825933939579284
2020-09-17 16:00:00+0200	788,207172758		650			0,824656286399422
2020-09-17 17:00:00+0200	471,108305467		361			0,766278148380653
2020-09-17 18:00:00+0200	378,114832100		301			0,796054464005777
2020-09-17 19:00:00+0200	227,783416033		165			0,724372313285949
2020-09-17 20:00:00+0200	81,233034415		49			0,603202876183501
2020-09-17 21:00:00+0200	3,249444901		1			0,307744870397808
2020-09-17 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-17 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-18 09:00:00+0200	11,763037269		8			0,680096459515517
2020-09-18 10:00:00+0200	72,002818959		54			0,749970636991293
2020-09-18 11:00:00+0200	564,372747417		513			0,90897372764344
2020-09-18 12:00:00+0200	461,110781279		335			0,726506543765466
2020-09-18 13:00:00+0200	207,918458446		168			0,808009068822682
2020-09-18 14:00:00+0200	730,291653350		570			0,780510084409826
2020-09-18 15:00:00+0200	238,627037117		174			0,729171355024146
2020-09-18 16:00:00+0200	949,498620296		787			0,828858497713939
2020-09-18 17:00:00+0200	487,904010971		423			0,866973811422801
2020-09-18 18:00:00+0200	766,985293121		688			0,897018503706121
2020-09-18 19:00:00+0200	446,548734408		357			0,799464811994783
